Total_loss: 5.742965173721314	 Hash_loss: 5.475927495956421	 Classsifier_loss: 0.9943886518478393	 Entropy_loss: -2.301566958427429
Total_loss: 5.742143964767456	 Hash_loss: 5.476473093032837	 Classsifier_loss: 0.9916544914245605	 Entropy_loss: -2.3015629768371584
Total_loss: 5.740753984451294	 Hash_loss: 5.47604513168335	 Classsifier_loss: 0.9897307932376862	 Entropy_loss: -2.3015642404556274
Total_loss: 5.739247560501099	 Hash_loss: 5.4759931564331055	 Classsifier_loss: 0.9868202149868012	 Entropy_loss: -2.30155668258667
Total_loss: 5.738377857208252	 Hash_loss: 5.476072072982788	 Classsifier_loss: 0.9849215507507324	 Entropy_loss: -2.301549863815308
Total_loss: 5.737051010131836	 Hash_loss: 5.475980043411255	 Classsifier_loss: 0.982451319694519	 Entropy_loss: -2.3015465259552004
Total_loss: 5.737944889068603	 Hash_loss: 5.476946401596069	 Classsifier_loss: 0.9823056161403656	 Entropy_loss: -2.301542544364929
Total_loss: 5.739951324462891	 Hash_loss: 5.478772163391113	 Classsifier_loss: 0.9826656103134155	 Entropy_loss: -2.301537370681763
Total_loss: 5.735951709747314	 Hash_loss: 5.476483535766602	 Classsifier_loss: 0.9792438685894013	 Entropy_loss: -2.3015376329421997
Total_loss: 5.7353698253631595	 Hash_loss: 5.476740741729737	 Classsifier_loss: 0.9775651097297668	 Entropy_loss: -2.301534414291382
Total_loss: 5.734727668762207	 Hash_loss: 5.476668167114258	 Classsifier_loss: 0.9764260888099671	 Entropy_loss: -2.3015356063842773
Total_loss: 5.734682655334472	 Hash_loss: 5.476694250106812	 Classsifier_loss: 0.9762836575508118	 Entropy_loss: -2.301534628868103
Total_loss: 5.735461139678955	 Hash_loss: 5.477527141571045	 Classsifier_loss: 0.9761750400066376	 Entropy_loss: -2.3015352725982665
Total_loss: 5.73793740272522	 Hash_loss: 5.479321146011353	 Classsifier_loss: 0.9775378346443176	 Entropy_loss: -2.3015262603759767
Total_loss: 5.734576940536499	 Hash_loss: 5.477438688278198	 Classsifier_loss: 0.9745823979377747	 Entropy_loss: -2.3015287637710573
Total_loss: 5.7343672752380375	 Hash_loss: 5.4773759841918945	 Classsifier_loss: 0.9742877304553985	 Entropy_loss: -2.301525831222534
Total_loss: 5.735110855102539	 Hash_loss: 5.4782782077789305	 Classsifier_loss: 0.9739704191684723	 Entropy_loss: -2.30152633190155
Total_loss: 5.733903551101685	 Hash_loss: 5.477887582778931	 Classsifier_loss: 0.9723358750343323	 Entropy_loss: -2.301520895957947
Total_loss: 5.734029388427734	 Hash_loss: 5.478216743469238	 Classsifier_loss: 0.9719294667243957	 Entropy_loss: -2.301520490646362
Total_loss: 5.731675386428833	 Hash_loss: 5.476748085021972	 Classsifier_loss: 0.9701581060886383	 Entropy_loss: -2.3015162467956545
Total_loss: 5.736737394332886	 Hash_loss: 5.4808393001556395	 Classsifier_loss: 0.9721004247665406	 Entropy_loss: -2.3015204191207888
Total_loss: 5.734965848922729	 Hash_loss: 5.4795389652252195	 Classsifier_loss: 0.971156644821167	 Entropy_loss: -2.3015149593353272
Total_loss: 5.736249017715454	 Hash_loss: 5.480384826660156	 Classsifier_loss: 0.9720316886901855	 Entropy_loss: -2.3015170812606813
Total_loss: 5.739381790161133	 Hash_loss: 5.482554388046265	 Classsifier_loss: 0.9739575266838074	 Entropy_loss: -2.3015129804611205
Total_loss: 5.735091590881348	 Hash_loss: 5.479587173461914	 Classsifier_loss: 0.9713122069835662	 Entropy_loss: -2.301516318321228
Total_loss: 5.734050226211548	 Hash_loss: 5.479125833511352	 Classsifier_loss: 0.9701513946056366	 Entropy_loss: -2.3015134572982787
Total_loss: 5.7345537662506105	 Hash_loss: 5.479792785644531	 Classsifier_loss: 0.9698240518569946	 Entropy_loss: -2.3015100955963135
Total_loss: 5.7330883026123045	 Hash_loss: 5.479074478149414	 Classsifier_loss: 0.9683301091194153	 Entropy_loss: -2.3015113830566407
Total_loss: 5.733411598205566	 Hash_loss: 5.4797100067138675	 Classsifier_loss: 0.96770458817482	 Entropy_loss: -2.3015074491500855
Total_loss: 5.729068183898926	 Hash_loss: 5.477334785461426	 Classsifier_loss: 0.9637674987316132	 Entropy_loss: -2.3015039682388307
Total_loss: 5.73111891746521	 Hash_loss: 5.47893648147583	 Classsifier_loss: 0.9646648287773132	 Entropy_loss: -2.301500082015991
Total_loss: 5.731913042068482	 Hash_loss: 5.479350328445435	 Classsifier_loss: 0.9654252469539643	 Entropy_loss: -2.301499128341675
Total_loss: 5.731639575958252	 Hash_loss: 5.479716730117798	 Classsifier_loss: 0.9641452491283417	 Entropy_loss: -2.301497769355774
Total_loss: 5.7337854385375975	 Hash_loss: 5.481150102615357	 Classsifier_loss: 0.9655709862709045	 Entropy_loss: -2.301500654220581
Total_loss: 5.73088960647583	 Hash_loss: 5.479420566558838	 Classsifier_loss: 0.9632368922233582	 Entropy_loss: -2.3014947175979614
Total_loss: 5.731353807449341	 Hash_loss: 5.47968020439148	 Classsifier_loss: 0.9636464715003967	 Entropy_loss: -2.3014960527420043
